Cliente;Cidade;Bairro;Estado;LimiteCredito;PrecoTabela;PrecoVenda;Pedido;CondicaoPagamento;TipoCliente;GrupoProduto;DataPedido;AnoPedido;MesPedido;DiaPedido;DiaSemana;TipoPedido;Quantidade;Valor;Produto
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.71;6.71;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;20.13;b'JDuM9g'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.71;6.71;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;20.13;b'GVa5ZA'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.71;6.71;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;20.13;b'MNjpAg'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.71;6.71;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;20.13;b'wmfSdQ'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.71;6.71;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;20.13;b'L.0e6Q'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;41.65;35.4;b'cWPfdQ';ED21 -14,21,28;PEQUENO;HIGIENE ORAL;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;2.0;70.8;b'BOLxNg'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;0.91;0.91;b'cWPfdQ';ED21 -14,21,28;PEQUENO;FARMACIA;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;12.0;10.92;b'XxfEIw'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;8.72;8.72;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;26.16;b'.Tvrvg'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;8.72;8.72;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;26.16;b'fnpONQ'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;8.72;8.72;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;26.16;b'gOKY.Q'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;8.72;8.72;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;26.16;b'OuK4LQ'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;8.72;8.72;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;26.16;b'VbAsmQ'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.8;6.8;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;20.4;b'ZuZVYA'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;11.95;11.95;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;1.0;11.95;b's6a45g'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;4.18;4.18;b'cWPfdQ';ED21 -14,21,28;PEQUENO;ABSORVENTES/USO PESSOAL INTIMO;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;12.0;50.16;b'D61pIg'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;2.45;2.45;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CORPO E ROSTO;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;12.0;29.4;b'myXJ8w'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;3.38;3.38;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;10.14;b'4Ue5sg'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;3.38;3.38;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;10.14;b'mxi1Vw'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;3.38;3.38;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;10.14;b'gFA0LA'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.71;6.71;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;20.13;b'2BmGWg'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;2.28;2.28;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CORPO E ROSTO;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;6.0;13.68;b'8B8i-Q'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;15.13;15.13;b'cWPfdQ';ED21 -14,21,28;PEQUENO;ABSORVENTES/USO PESSOAL INTIMO;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;1.0;15.13;b'crJLJw'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;20.68;20.68;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CORPO E ROSTO;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;1.0;20.68;b'deojGQ'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;3.77;3.77;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;6.0;22.62;b'BhWZ4Q'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.8;6.8;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;20.4;b'EjyGWQ'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;4.4;3.66;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;10.98;b'XQjDqg'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;8.52;8.52;b'cWPfdQ';ED21 -14,21,28;PEQUENO;MAQUIAGEM;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;25.56;b'K22oSw'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;2.34;2.34;b'cWPfdQ';ED21 -14,21,28;PEQUENO;ABSORVENTES/USO PESSOAL INTIMO;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;24.0;56.16;b'p6.i0g'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;4.4;3.66;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;10.98;b'ghrhng'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;4.4;3.66;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;10.98;b'VGHfcg'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;2.14;2.14;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;6.0;12.84;b'7p2W3Q'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.49;6.49;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;1.0;6.49;b'mXkMMQ'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.49;6.49;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;1.0;6.49;b'MgLJUA'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.49;6.49;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;1.0;6.49;b'hElk0g'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.8;6.8;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;20.4;b'9qbWnA'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.49;6.49;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;2.0;12.98;b'GmO9Yw'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.8;6.8;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;20.4;b'q.k2YA'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;4.89;4.89;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CORPO E ROSTO;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;14.67;b'JRkLXQ'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;4.89;4.89;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CORPO E ROSTO;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;14.67;b'6DNgUQ'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.49;6.49;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;1.0;6.49;b'1Rvtag'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.49;6.49;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;2.0;12.98;b'3FNUTw'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;13.79;10.35;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CORPO E ROSTO;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;6.0;62.1;b'uxCxZA'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.71;6.71;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;20.13;b'nmUCng'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.8;6.8;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;20.4;b'JZdCvQ'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;7.51;6.85;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;20.55;b'WxFwFQ'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;31.43;31.43;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CORPO E ROSTO;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;1.0;31.43;b'BnW0Xg'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;4.26;4.26;b'cWPfdQ';ED21 -14,21,28;PEQUENO;ABSORVENTES/USO PESSOAL INTIMO;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;12.0;51.12;b'N9lj6w'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;2.45;2.45;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CORPO E ROSTO;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;12.0;29.4;b'yWQrHg'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;29.42;29.42;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CORPO E ROSTO;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;1.0;29.42;b'vp-cbg'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;29.42;29.42;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CORPO E ROSTO;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;1.0;29.42;b'oCW7Zw'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.49;6.49;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;1.0;6.49;b'Jml-0A'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;23.78;23.78;b'cWPfdQ';ED21 -14,21,28;PEQUENO;HIGIENE ORAL;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;1.0;23.78;b'H.Ya5A'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;11.95;11.95;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;2.0;23.9;b'VAlRCA'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;21.89;21.89;b'cWPfdQ';ED21 -14,21,28;PEQUENO;HIGIENE ORAL;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;1.0;21.89;b'fZ1igg'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;49.51;49.51;b'cWPfdQ';ED21 -14,21,28;PEQUENO;MAQUIAGEM;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;1.0;49.51;b'zDbe0A'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.18;6.18;b'Bbm0Sg';ED21 -14,21,28;PEQUENO;CORPO E ROSTO;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Bonificado;3.0;18.54;b'ZtObgA'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.8;6.8;b'Bbm0Sg';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Bonificado;3.0;20.4;b'390Qwg'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;11.15;11.15;b'Bbm0Sg';ED21 -14,21,28;PEQUENO;CORPO E ROSTO;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Bonificado;1.0;11.15;b'XR1hnQ'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;12.32;12.32;b'Dw.lmw';ED21 -14,21,28;PEQUENO;LINHA INFANTIL/KIDS;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;3.0;36.96;b'li-sww'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;11.69;9.36;b'Dw.lmw';ED21 -14,21,28;PEQUENO;CORPO E ROSTO;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;6.0;56.16;b'tXmfSw'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;11.69;9.36;b'Dw.lmw';ED21 -14,21,28;PEQUENO;CORPO E ROSTO;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;6.0;56.16;b'F9MEeg'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;11.69;9.36;b'Dw.lmw';ED21 -14,21,28;PEQUENO;CORPO E ROSTO;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;3.0;28.08;b'UnS6oQ'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;17.99;17.99;b'Dw.lmw';ED21 -14,21,28;PEQUENO;HIGIENE ORAL;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;1.0;17.99;b'mF5HsQ'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;17.99;17.99;b'Dw.lmw';ED21 -14,21,28;PEQUENO;HIGIENE ORAL;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;1.0;17.99;b'ZnLZww'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;11.69;9.36;b'Dw.lmw';ED21 -14,21,28;PEQUENO;CORPO E ROSTO;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;6.0;56.16;b'EGKbdQ'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.55;6.55;b'Dw.lmw';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;3.0;19.65;b'Gl3d6Q'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;2.28;2.28;b'Dw.lmw';ED21 -14,21,28;PEQUENO;CORPO E ROSTO;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;6.0;13.68;b'8B8i-Q'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;15.1;15.1;b'Dw.lmw';ED21 -14,21,28;PEQUENO;CORPO E ROSTO;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;1.0;15.1;b'tKjNjw'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;15.1;15.1;b'Dw.lmw';ED21 -14,21,28;PEQUENO;CORPO E ROSTO;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;1.0;15.1;b'mbldLA'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;15.1;15.1;b'Dw.lmw';ED21 -14,21,28;PEQUENO;CORPO E ROSTO;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;1.0;15.1;b'Ek73SQ'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;1.87;1.87;b'Dw.lmw';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;6.0;11.22;b'RBS3rA'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;2.34;2.34;b'Dw.lmw';ED21 -14,21,28;PEQUENO;ABSORVENTES/USO PESSOAL INTIMO;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;12.0;28.08;b'p6.i0g'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;11.15;11.15;b'Dw.lmw';ED21 -14,21,28;PEQUENO;CORPO E ROSTO;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;1.0;11.15;b'K5Qs6Q'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;43.26;36.6;b'Dw.lmw';ED21 -14,21,28;PEQUENO;HIGIENE ORAL;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;1.0;36.6;b'UGRO9A'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;5.05;4.85;b'Dw.lmw';ED21 -14,21,28;PEQUENO;LINHA INFANTIL/KIDS;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;6.0;29.1;b'jvxpqg'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;3.56;3.56;b'Dw.lmw';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;6.0;21.36;b'q4A1jA'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.8;6.8;b'Dw.lmw';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;6.0;40.8;b'9qbWnA'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.8;6.8;b'Dw.lmw';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;3.0;20.4;b'q.k2YA'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;5.62;5.62;b'Dw.lmw';ED21 -14,21,28;PEQUENO;LINHA INFANTIL/KIDS;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;3.0;16.86;b'jUnOtw'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;3.56;3.56;b'Dw.lmw';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;6.0;21.36;b'cbcJ.g'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;11.15;11.15;b'Dw.lmw';ED21 -14,21,28;PEQUENO;CORPO E ROSTO;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;1.0;11.15;b'QZC0BQ'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;4.04;4.04;b'Dw.lmw';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;3.0;12.12;b'a4I7TA'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;4.04;4.04;b'Dw.lmw';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;3.0;12.12;b'ZgrTSg'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;4.04;4.04;b'Dw.lmw';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;3.0;12.12;b'WHsehg'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;3.78;3.78;b'Dw.lmw';ED21 -14,21,28;PEQUENO;CORPO E ROSTO;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;3.0;11.34;b'yfXIRg'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;3.79;3.79;b'Dw.lmw';ED21 -14,21,28;PEQUENO;LINHA INFANTIL/KIDS;2017-11-06 23:13:00;2017;11;6;SEGUNDA-FEIRA;Faturado;3.0;11.37;b'ntaZIA'
